name,category,five_color,nature,effects,is_condiment
高麗菜,葉菜類,白,平,健胃益腎、清熱止痛,False
地瓜葉,葉菜類,青,平,生津潤燥、養血止血,False
空心菜,葉菜類,青,寒,清熱解毒、涼血利尿,False
青江菜,葉菜類,青,平,活血化瘀、寬腸通便,False
菠菜,葉菜類,青,涼,養血止血、斂陰潤燥,False
小白菜,葉菜類,白,平,解熱除煩、通利腸胃,False
大白菜,葉菜類,白,寒,養胃生津、除煩解渴,False
芥藍,葉菜類,青,平,解毒利咽、平喘,False
莧菜,葉菜類,青,涼,清熱明目、通利二便,False
油菜,葉菜類,青,平,活血化瘀、解毒消腫,False
芹菜,葉菜類,青,涼,平肝清熱、祛風利濕,False
萵苣(A菜),葉菜類,青,涼,利五臟、通經脈,False
大陸妹,葉菜類,青,涼,清熱提神、鎮靜安眠,False
紅鳳菜,葉菜類,赤,溫,補氣養血、活血通經,False
龍鬚菜,葉菜類,青,寒,清熱解毒、利尿,False
過貓,葉菜類,青,寒,清熱解毒、利尿,False
山蘇,葉菜類,青,平,活血化瘀、解毒,False
川七,葉菜類,青,溫,散瘀止血、消腫定痛,False
皇宮菜,葉菜類,青,寒,清熱解毒、潤腸通便,False
娃娃菜,葉菜類,白,平,養胃生津,False
角菜,葉菜類,青,平,清熱解毒,False
昭和草(山茼蒿),葉菜類,青,平,健脾消食、利尿,False
水蓮,葉菜類,青,平,清熱解毒、利尿,False
青花菜,葉菜類,青,平,補腎填精、健腦壯骨,False
白花椰菜,葉菜類,白,平,清熱解渴、利尿通便,False
芥菜(長年菜),葉菜類,青,溫,宣肺豁痰、溫中利氣,False
油菜花,葉菜類,青,涼,活血化瘀、解毒消腫,False
白蘿蔔,根莖類,白,寒,消食積、化痰熱、下氣寬中,False
紅蘿蔔,根莖類,赤,平,健脾消食、補肝明目、下氣止咳,False
馬鈴薯,根莖類,黃,平,和胃調中、健脾益氣,False
地瓜,根莖類,黃,平,補中和血、益氣生津、寬腸胃,False
芋頭,根莖類,白,平,益胃寬腸、通便解毒、補中益氣,False
南瓜,根莖類,黃,溫,補中益氣、消炎止痛、解毒殺蟲,False
苦瓜,根莖類,青,寒,清熱解毒、清心明目,False
冬瓜,根莖類,白,寒,清熱解毒、利水消腫、除煩止渴,False
絲瓜,根莖類,青,涼,清熱化痰、涼血解毒、通經絡,False
小黃瓜,根莖類,青,涼,清熱利水、解毒消腫、生津止渴,False
大黃瓜,根莖類,青,寒,清熱解毒、利水消腫,False
茄子,根莖類,黑,寒,清熱活血、消腫止痛,False
番茄,根莖類,赤,涼,生津止渴、健胃消食、涼血平肝,False
青椒,根莖類,青,平,溫中散寒、開胃消食,False
甜椒(彩椒),根莖類,黃,平,補血消疲、抗氧化,False
玉米筍,根莖類,黃,平,健脾開胃、利水滲濕,False
秋葵,根莖類,青,涼,清熱利濕、健胃整腸,False
蓮藕,根莖類,白,涼,清熱生津、涼血止血、補益脾胃,False
牛蒡,根莖類,黃,寒,疏風散熱、解毒消腫、利咽,False
山藥,根莖類,白,平,補脾養胃、生津益肺、補腎澀精,False
竹筍,根莖類,黃,寒,清熱消痰、利尿通便,False
筊白筍,根莖類,白,寒,清熱解毒、除煩止渴、利尿,False
大頭菜(結頭菜),根莖類,青,平,開胃消食、下氣寬中,False
豆薯,根莖類,白,涼,生津止渴、解酒毒,False
荸薺,根莖類,黑,寒,清熱生津、化痰明目,False
佛手瓜,根莖類,青,溫,理氣和中、疏肝止咳,False
櫛瓜,根莖類,青,平,清熱利尿、除煩止渴,False
蘆筍,根莖類,青,寒,清熱解毒、利水通淋,False
香菇,菇菌類,黑,平,扶正補氣、健脾開胃、化痰理氣,False
金針菇,菇菌類,白,涼,補肝益腸、抗癌益智,False
杏鮑菇,菇菌類,白,平,健脾開胃、潤腸美容,False
秀珍菇,菇菌類,白,平,滋補強身、追風散寒,False
鴻喜菇,菇菌類,黑,平,滋陰潤肺、養胃生津,False
雪白菇,菇菌類,白,平,清除自由基、鎮靜安神,False
木耳,菇菌類,黑,平,涼血止血、潤肺益胃、益氣強身,False
