name,category,description,ingredients
素食蛋炒飯,主食,簡單快速的家常炒飯，粒粒分明蛋香四溢,白米|雞蛋|高麗菜|紅蘿蔔|醬油|鹽|白胡椒
台式素炒麵,主食,經典台式風味，香菇爆香搭配爽脆蔬菜,麵條|高麗菜|紅蘿蔔|木耳|香菇|醬油|黑醋|香油(白麻油)
番茄炒蛋蓋飯,主食,酸甜開胃，滑嫩雞蛋配上熱騰騰白飯,白米|番茄|雞蛋|薑|糖|鹽|番茄糊(Paste)
野菇白醬燉飯,主食,濃郁奶香與多種菇類的完美結合,義大利燉飯米|杏鮑菇|鴻喜菇|鮮奶|奶油|帕瑪森起司粉|黑胡椒|鹽
南瓜米粉,主食,金黃南瓜包裹著米粉，香甜不膩,米粉|南瓜|香菇|高麗菜|芹菜|醬油|白胡椒|鹽
麻油蛋湯麵,主食,冬日暖身首選，麻油薑香撲鼻,麵條|黑麻油|薑|雞蛋|高麗菜|鹽
麻婆豆腐燴飯,主食,香辣下飯，軟嫩豆腐配上素肉燥口感豐富,白米|嫩豆腐|素肉燥|豆瓣醬|薑|醬油|糖|香油(白麻油)
南洋素咖哩飯,主食,加入椰奶與蘋果的溫和咖哩，老少咸宜,白米|馬鈴薯|紅蘿蔔|咖哩粉|椰奶|蘋果|鹽|黑胡椒
經典青醬義大利麵,主食,自製新鮮青醬，香氣濃郁,義大利麵(直麵)|九層塔|松子|初榨橄欖油|帕瑪森起司粉|鹽|黑胡椒
泰式素炒河粉,主食,酸甜微辣的泰式風味，開胃滿足,泰式河粉|豆干|雞蛋|花生|羅望子醬(酸子)|棕櫚糖(椰糖)|辣椒|檸檬|高麗菜
古早味高麗菜飯,主食,充滿回憶的台式炊飯，蔬菜甜味滲入米飯,白米|高麗菜|香菇|素肉燥|醬油|白胡椒
焗烤菠菜千層麵,主食,層層堆疊的麵皮與起司，義式經典美味,千層麵皮|菠菜|番茄糊(Paste)|摩扎瑞拉起司(Mozzarella)|義式香料粉
滑蛋鴻喜菇丼,主食,日式風味，滑嫩蛋液包覆鮮菇，口感溫潤,白米|雞蛋|鴻喜菇|洋蔥|醬油|糖
芋頭香菇鹹粥,主食,綿密芋頭與香氣十足的香菇，暖胃首選,白米|芋頭|香菇|芹菜|白胡椒|鹽
川味螞蟻上樹,主食,吸滿香辣湯汁的冬粉，開胃又下飯,冬粉|素肉燥|豆瓣醬|薑|醬油
泰式鳳梨炒飯,主食,咖哩香氣結合酸甜鳳梨與酥脆腰果，充滿熱帶風情,白米|鳳梨|腰果|素肉燥|咖哩粉|鹽
義式番茄筆管麵,主食,筆管麵吸附濃郁茄汁，酸甜適中,筆管麵|番茄|番茄糊(Paste)|羅勒葉(甜羅勒)|帕瑪森起司粉
塔香茄子拌麵,主食,九層塔香氣與軟嫩茄子，簡單拌麵也能很豪華,麵條|茄子|九層塔|素蠔油|醬油
黃金法式吐司,主食,吸滿蛋奶液的吐司煎至金黃，淋上蜂蜜的幸福早餐,吐司|雞蛋|鮮奶|奶油|蜂蜜
紅燒麵腸麵,主食,麵腸模擬肉口感，搭配甘甜蘿蔔湯頭，台式紅燒風味,麵條|麵腸|白蘿蔔|紅蘿蔔|醬油|八角
番茄炒蛋,主菜,酸甜開胃的經典家常菜，營養滿分,番茄|雞蛋|薑|鹽|糖
紅燒豆腐,主菜,鹹香入味的豆腐料理，超級下飯,板豆腐|香菇|紅蘿蔔|薑|醬油
九層塔烘蛋,主菜,香氣四溢的台式蛋料理,雞蛋|九層塔|鹽
芹菜炒豆干,主菜,清脆爽口的快炒料理,芹菜|豆干|辣椒|鹽
香菇炒蘆筍,主菜,鮮美清爽的時蔬料理,蘆筍|香菇|薑|鹽
塔香茄子,主菜,九層塔與茄子的絕妙搭配,茄子|九層塔|醬油|糖
金銀蛋苦瓜,主菜,皮蛋與雞蛋交織的豐富口感，降低苦瓜苦味,苦瓜|雞蛋|皮蛋|薑
絲瓜燴豆腐,主菜,絲瓜的清甜配上滑嫩豆腐,絲瓜|嫩豆腐|薑|鹽
馬鈴薯燉素肉,主菜,口感綿密的馬鈴薯配上鹹香素肉,馬鈴薯|紅蘿蔔|素肉燥|醬油
玉米筍炒甜椒,主菜,色彩繽紛，口感爽脆,玉米筍|甜椒(彩椒)|薑|鹽
三杯杏鮑菇,主菜,經典三杯風味，香氣逼人,杏鮑菇|薑|九層塔|黑麻油|醬油
麻婆豆腐,主菜,香辣過癮，白飯殺手,嫩豆腐|素肉燥|豆瓣醬|辣椒|薑
宮保高麗菜,主菜,香辣脆甜，口感層次豐富,高麗菜|辣椒|花生|薑|醬油|白醋
糖醋豆包,主菜,酸甜醬汁包裹酥脆豆包,豆包|甜椒(彩椒)|番茄|糖|白醋
黑胡椒鐵板豆腐,主菜,黑胡椒香氣濃郁，風味獨特,板豆腐|甜椒(彩椒)|黑胡椒|醬油|奶油
泰式綠咖哩蔬,主菜,濃郁椰香微辣綠咖哩，充滿南洋風情,綠咖哩醬(素)|椰奶|茄子|玉米筍|九層塔
泰式紅咖哩什錦,主菜,溫潤紅咖哩與多種蔬菜的完美結合,紅咖哩醬(素)|椰奶|鳳梨|秀珍菇|番茄
泰式打拋素肉,主菜,泰式經典下飯菜，鹹香帶辣,素肉燥|打拋葉(聖羅勒)|辣椒|番茄|檸檬|醬油
義式烘蛋,主菜,豐富蔬菜與蛋香的義式家常菜,雞蛋|馬鈴薯|甜椒(彩椒)|菠菜|起司
焗烤馬鈴薯,主菜,香濃起司與綿密馬鈴薯的罪惡美味,馬鈴薯|鮮奶|奶油|摩扎瑞拉起司(Mozzarella)
義式燉時蔬,主菜,多種蔬菜燉煮，保留食材原味,茄子|甜椒(彩椒)|番茄|櫛瓜|義式香料粉
黑胡椒杏鮑菇排,主菜,素食牛排口感，黑胡椒醬汁濃郁,杏鮑菇|黑胡椒|醬油|奶油
奶油白醬燉菜,主菜,奶香濃郁，溫暖人心的燉菜,白花椰菜|馬鈴薯|鮮奶|奶油|鹽
青醬炒鮮菇,主菜,羅勒青醬與鮮菇的清爽搭配,杏鮑菇|鴻喜菇|九層塔|松子|初榨橄欖油
起司焗烤花椰菜,主菜,金黃焦香起司覆蓋脆嫩花椰菜,青花菜|鮮奶|奶油|帕瑪森起司粉
芋頭栗子燒,主菜,鬆軟芋頭與香甜栗子，象徵圓滿,芋頭|栗子|香菇|醬油|糖
紅燒素雞,主菜,經典年節大菜，醬香濃郁,素雞|薑|八角|醬油|糖
羅漢齋,主菜,多種素料共煮，寓意豐富吉祥,大白菜|香菇|木耳|竹筍|紅蘿蔔|豆包|醬油
蠔油芥菜,主菜,長年菜象徵長壽，年夜飯必備,芥菜(長年菜)|素蠔油|薑
富貴滷拼盤,主菜,多種滷味拼盤，豐盛開胃,豆干|海帶|素肚|八角|醬油|糖
涼拌小黃瓜,配菜,清脆爽口，經典開胃小菜,小黃瓜|辣椒|糖|白醋|香油(白麻油)
皮蛋豆腐,配菜,滑嫩豆腐配上獨特皮蛋香,嫩豆腐|皮蛋|素蠔油|香菜|薑
